workload,n_txs,tx_gas,total_gas,steps,emu_seconds,msteps_s,steps_per_gas,status
eth-transfer,1,n/a,21000,533567,0.0142,37.6940,25.41,ok
eth-transfer,10,n/a,210000,1419230,0.1036,13.6968,6.76,ok
eth-transfer,100,n/a,2100000,8181649,0.9767,8.3772,3.90,ok
eth-transfer,1000,n/a,21000000,76796961,9.7056,7.9126,3.66,ok
erc20-transfer,1,n/a,52117,689784,0.0154,44.8870,13.24,ok
erc20-transfer,10,n/a,521158,2147724,0.1097,19.5722,4.12,ok
erc20-transfer,100,n/a,5211616,14031894,1.0297,13.6275,2.69,ok
erc20-transfer,1000,n/a,52116076,135727533,10.1679,13.3486,2.60,ok
uniswap-v2-swap,1,n/a,77249,1202832,0.0192,62.7483,15.57,ok
uniswap-v2-swap,10,n/a,892190,5581771,0.1360,41.0431,6.26,ok
uniswap-v2-swap,100,n/a,7844600,45446116,1.2774,35.5761,5.79,ok
uniswap-v2-swap,1000,n/a,77368700,446021675,12.5511,35.5365,5.76,ok
contract-deploy,1,n/a,262354,703661,0.0147,47.8274,2.68,ok
contract-deploy,10,n/a,2623540,2967431,0.1126,26.3644,1.13,ok
contract-deploy,100,n/a,26235400,23821844,1.0639,22.3917,0.91,ok
contract-deploy,1000,n/a,262354000,233192076,10.5489,22.1057,0.89,ok
keccak,1,60000,51965,1061598,0.0175,60.7137,20.43,ok
keccak,10,60000,519650,6521403,0.1371,47.5566,12.55,ok
keccak,100,60000,5196500,59404993,1.3046,45.5342,11.43,ok
keccak,1000,60000,51965000,590169032,13.0554,45.2049,11.36,ok
mulmod,1,60000,50606,6407708,0.0606,105.7846,126.62,ok
mulmod,10,60000,506060,59806392,0.5721,104.5332,118.18,ok
mulmod,100,60000,5060600,592078640,5.6820,104.2023,117.00,ok
mulmod,1000,60000,50606000,5916728986,56.3164,105.0623,116.92,ok
ecrecover,1,60000,52637,781133,0.1053,7.4205,14.84,ok
ecrecover,10,60000,526370,3578335,1.0137,3.5298,6.80,ok
ecrecover,100,60000,5263700,29844393,10.0482,2.9701,5.67,ok
ecrecover,1000,60000,52637000,294433692,100.1440,2.9401,5.59,ok
sstore-fresh,1,200000,154357,649378,0.0151,42.9471,4.21,ok
sstore-fresh,10,200000,1543678,2418376,0.1122,21.5577,1.57,ok
sstore-fresh,100,200000,15437800,18338201,1.0644,17.2279,1.19,ok
sstore-fresh,1000,200000,154380664,178979716,10.5674,16.9370,1.16,ok
sload-cold,1,60000,51218,1113041,0.0178,62.5991,21.73,ok
sload-cold,10,60000,512300,5854546,0.1314,44.5648,11.43,ok
sload-cold,100,60000,5124080,41743937,1.1999,34.7895,8.15,ok
sload-cold,1000,60000,51241844,310760414,11.2859,27.5353,6.06,ok
